Processing text...
Entities:
('1976:661', 'nmod', 'lagen')
('1994:1744', 'nmod', 'pensionsavgiften')
('1994:451', 'nmod', 'lagen')
('1999:1229', 'nmod', 'inkomstskattelagen')
('2010:111', 'nmod', 'lagen')
('2011:1513', 'nmod', 'lag')
('2012:599', 'nmod', '1')
('2012:896', 'nmod', '1')
('2013:999', 'nmod', '1')
('2014:470', 'nmod', '1')
('2015:963', 'nmod', 'lag')
('2017:1123', 'nmod', '1')
('2017:1305', 'nmod', '1')
('2017:585', 'nmod', '1')
('2018:122', 'nmod', '1')
('2018:1627', 'nmod', '1')
('2018:1628', 'nmod', '1')
('2018:1952', 'nmod', '1')
('2018:742', 'nmod', '1')
('2018:772', 'nmod', '1')
('2019:1294', 'nmod', '1')
('2019:644', 'nmod', '1')
('2019:645', 'nmod', '1')
('2019:649', 'nmod', '1')
('2020:427', 'nmod', '1')
('2020:432', 'nmod', '1')
('2021:878', 'nmod', '1')
('2022:1037', 'nmod', '1')
('2022:1042', 'nmod', '1')
('2022:1266', 'nmod', '1')
('2022:1291', 'nmod', '1')
('2022:879', 'nmod', '1')
('2022:934', 'nmod', '1')
('2024:508', 'nmod', '1')
('240-dagarsvillkoret', 'nsubj', 'uppfyllt')
('71-årsdagen', 'nmod', 'sjukpenning')
('883/2004', 'nmod', 'den')
('883/2004', 'nmod', 'tillämpning')
('90-procentstillägget', 'nmod', 'avkortning')
('90-procentstillägget', 'nmod', 'hänsyn')
('90-procentstillägget', 'nmod', 'minskning')
('90-procentstillägget', 'nsubj:pass', 'minskas')
('90-procentstillägg', 'nmod', 'minskning')
('90-procentstillägg', 'nmod', 'rätten')
('administration', 'nmod', 'bestämmelser')
('administration', 'nmod', 'organet')
('adoptionen', 'nsubj', 'blev')
('adoptionen', 'nsubj', 'ägt')
('adoptioner', 'nmod', 'samarbete')
('adoption', 'nmod', 'adoptivförälder')
('adoption', 'nmod', 'adoptivföräldrar')
('adoption', 'nmod', 'beslut')
('adoption', 'nmod', 'fall')
('adoption', 'nmod', 'kostnader')
('adoption', 'nmod', 'rättsverkan')
('adoptionsbidrag', 'nmod', 'rätten')
('adoptionsbidrag', 'nmod', 'ärenden')
('adoptionsbidrag', 'nsubj:pass', 'lämnas')
('adoptivföräldern', 'nsubj', 'får')
('adoptivförälder', 'nsubj:pass', 'likställs')
('adoptivförälder', 'nsubj', 'finns')
('adoptivförälder', 'nsubj', 'vårdar')
('adoptivföräldrarna', 'nsubj', 'tillkommer')
('adress', 'nsubj', 'okänd')
('aktiebolaget', 'nmod', 'anställningen')
('aktiviteter', 'nmod', 'anledning')
('aktiviteter', 'nsubj', 'kommer')
('aktivitetsersättningen', 'nmod', 'förlängningen')
('aktivitetsersättningen', 'nsubj:pass', 'förklaras')
('aktivitetsersättningen', 'nsubj:pass', 'förlängas')
('aktivitetsersättningen', 'nsubj:pass', 'förlängts')
('aktivitetsersättningen', 'nsubj:pass', 'minskas')
('aktivitetsersättningen', 'nsubj', 'får')
('aktivitetsersättning', 'nmod', 'beräkning')
('aktivitetsersättning', 'nmod', 'beslut')
('aktivitetsersättning', 'nmod', 'beslutet')
('aktivitetsersättning', 'nmod', 'månader')
('aktivitetsersättning', 'nmod', 'perioden')
('aktivitetsersättning', 'nmod', 'rätt')
('aktivitetsersättning', 'nmod', 'tid')
('aktivitetsersättning', 'nmod', 'tiden')
('aktivitetsersättning', 'nmod', 'utbetalning')
('aktivitetsersättning', 'nmod', 'vilandeförklaring')
('aktivitetsersättning', 'nsubj:pass', 'betalas')
('aktivitetsersättning', 'nsubj:pass', 'förklarats')
('aktivitetsersättning', 'nsubj:pass', 'lämnas')
('aktivitetsersättning', 'nsubj:pass', 'ändras')
('aktivitetsstöd', 'nmod', 'rätt')
('andelen', 'nsubj', 'överstiger')
('andel', 'nmod', 'makarna')
('andel', 'nmod', 'ändring')
('andel', 'nsubj:pass', 'beräknas')
('andel', 'nsubj:pass', 'betalas')
('andel', 'nsubj:pass', 'räknas')
('andel', 'nsubj:pass', 'tas')
('andel', 'nsubj:pass', 'tillgodoräknas')
('andel', 'nsubj', 'uppgår')
('andel', 'nsubj', 'utgör')
('andel', 'nsubj', 'öka')
('andelsberäkning', 'nsubj:pass', 'göras')
('anhörig', 'nsubj:pass', 'anses')
('anknytning', 'nmod', 'person')
('anledningen', 'nsubj', 'uppkom')
('anledningen', 'nsubj', 'uppkommit')
('anledning', 'nmod', 'barn')
('anledning', 'nmod', 'ersättningen')
('anledning', 'nmod', 'försäkring')
('anledning', 'nmod', 'föräldrapenning')
('anledning', 'nmod', 'inkomst')
('anledning', 'nmod', 'kap.')
('anledning', 'nmod', 'kostnader')
('anledning', 'nmod', 'månad')
('anledning', 'nsubj', 'finns')
('anledning', 'nsubj', 'uppkom')
('anledning', 'nsubj', 'vägrar')
('anmälan', 'nmod', 'behov')
('anmälan', 'nmod', 'bestämmelser')
('anmälan', 'nmod', 'föräldern')
('anmälan', 'nmod', 'tjänstepension')
('anmälan', 'nmod', '§')
('anmälan', 'nmod', 'återkallelse')
('anmälan', 'nsubj:pass', 'gjordes')
('anmälan', 'nsubj:pass', 'gjorts')
('anmälan', 'nsubj:pass', 'göras')
('anmälan', 'nsubj:pass', 'görs')
('anmälan', 'nsubj:pass', 'lämnas')
('anmälan', 'nsubj', 'avser')
('anmälan', 'nsubj', 'finns')
('anmälan', 'nsubj', 'gäller')
('anmälan', 'nsubj', 'inkommit')
('anmälan', 'nsubj', 'kom')
('anmälan', 'nsubj', 'kommit')
('anmälningsskyldige', 'nsubj', 'fick')
('anmälningsskyldige', 'nsubj', 'insett')
('annars', 'nsubj', 'fått')
('annars', 'nsubj', 'haft')
('anordningar', 'nmod', 'kostnader')
('anordningen', 'nmod', 'reparation')
('anordningen', 'nsubj:pass', 'behövs')
('anordning', 'nmod', 'anskaffning')
('anpassningarna', 'nsubj:pass', 'utförts')
('anpassningar', 'nsubj', 'fungerar')
('anpassningen', 'nmod', 'reparation')
('anpassningen', 'nsubj:pass', 'utförts')
('anpassning', 'nmod', 'form')
('anpassningsbidraget', 'nmod', 'procent')
('anpassningsbidraget', 'nsubj', 'motsvarar')
('anpassningsbidrag', 'nmod', 'anordning')
('anpassningsbidrag', 'nsubj:pass', 'lämnas')
('anpassningsbidrag', 'nsubj:pass', 'lämnats')
('anskaffning', 'nmod', 'bilstöd')
('anskaffning', 'nmod', 'körkortsutbildning')
('anskaffning', 'nmod', 'tilläggsbidrag')
('anskaffningsbidrag', 'nsubj:pass', 'lämnas')
('anskaffningsbidrag', 'nsubj:pass', 'minskas')
('anstalten', 'nmod', 'vistelsen')
('anstalt', 'nmod', 'intagen')
('anstalt', 'nmod', 'verkställighet')
('anstalt', 'nmod', 'vistas')
('anstalt', 'nmod', 'vistelse')
('anställda', 'nmod', 'andel')
('anställda', 'nmod', 'sjukpenning')
('anställdes', 'nmod', 'betalning')
('anställningen', 'nmod', 'inkomsten')
('anställningen', 'nsubj', 'avser')
('anställningen', 'nsubj', 'sker')
('anställningen', 'nsubj', 'upphörde')
('anställning', 'nmod', 'arbetstagare')
('anställning', 'nmod', 'inkomst')
('anställning', 'nmod', 'inkomster')
('anställning', 'nsubj', 'upphörde')
('anställningstiden', 'nmod', '§')
('anståndet', 'nmod', 'omfattningen')
('anståndet', 'nsubj', 'löpt')
('anståndet', 'nsubj', 'medgavs')
('anstånd', 'nmod', 'ansökan')
('anstånd', 'nmod', 'beslut')
('anstånd', 'nmod', 'beslutet')
('anstånd', 'nmod', 'ränta')
('anstånd', 'nsubj:pass', 'beviljas')
('anstånd', 'nsubj', 'gälla')
('ansökan', 'nmod', 'beräkning')
('ansökan', 'nmod', 'bestämmelser')
('ansökan', 'nmod', 'bestämmelserna')
('ansökan', 'nmod', 'ersättning')
('ansökan', 'nmod', 'förmånen')
('ansökan', 'nmod', 'försäkrad')
('ansökan', 'nmod', 'läkarutlåtande')
('ansökan', 'nmod', 'tid')
('ansökan', 'nmod', 'ökning')
('ansökan', 'nsubj:pass', 'anses')
('ansökan', 'nsubj:pass', 'avslås')
('ansökan', 'nsubj:pass', 'avvisas')
('ansökan', 'nsubj:pass', 'fogas')
('ansökan', 'nsubj:pass', 'ges')
('ansökan', 'nsubj:pass', 'gjordes')
('ansökan', 'nsubj:pass', 'gjorts')
('ansökan', 'nsubj:pass', 'göras')
('ansökan', 'nsubj:pass', 'görs')
('ansökan', 'nsubj:pass', 'sändes')
('ansökan', 'nsubj', 'avser')
('ansökan', 'nsubj', 'behöver')
('ansökan', 'nsubj', 'får')
('ansökan', 'nsubj', 'gemensam')
('ansökan', 'nsubj', 'inkommit')
('ansökan', 'nsubj', 'innehålla')
('ansökan', 'nsubj', 'kom')
('ansökan', 'nsubj', 'kommer')
('ansökan', 'nsubj', 'kommit')
('ansökan', 'nsubj', 'ofullständig')
('ansökan', 'nsubj', 'uppfyller')
('ansökningsmånaden', 'nmod', 'månad')
('ansökningsmånaden', 'nmod', 'tid')
('antagandeinkomsten', 'nmod', 'andel')
('antagandeinkomsten', 'nmod', 'del')
('antagandeinkomsten', 'nmod', 'tolftedel')
('antagandeinkomsten', 'nsubj:pass', 'anknyts')
